molecularAlterationType,datatype,name,description,showProfileInAnalysisTab,molecularProfileId,studyId
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 66 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"kich_tcga_gistic","kich_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 91 chrcc cases (RNA Seq V2 RSEM).",false,"kich_tcga_rna_seq_v2_mrna","kich_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"kich_tcga_rna_seq_v2_mrna_median_Zscores","kich_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"kich_tcga_linear_CNA","kich_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 66 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"kich_tcga_methylation_hm450","kich_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: KICH/20160128/gdac.broadinstitute.org_KICH.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz.",true,"kich_tcga_mutations","kich_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"kich_tcga_pan_can_atlas_2018_gistic","kich_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"kich_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","kich_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"kich_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","kich_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"kich_tcga_pan_can_atlas_2018_log2CNA","kich_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"kich_tcga_pan_can_atlas_2018_mutations","kich_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 66 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"kich_tcga_pub_gistic","kich_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 91 kich cases (RNA Seq V2 RSEM).",false,"kich_tcga_pub_rna_seq_v2_mrna","kich_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"kich_tcga_pub_rna_seq_v2_mrna_median_Zscores","kich_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"kich_tcga_pub_linear_CNA","kich_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 66 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"kich_tcga_pub_methylation_hm450","kich_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. From the KICH AWG, March 2013.",true,"kich_tcga_pub_mutations","kich_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 100 tumor/normal pairs.",true,"kirc_bgi_mutations","kirc_bgi"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"kirc_tcga_rppa","kirc_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"kirc_tcga_rppa_Zscores","kirc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 528 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"kirc_tcga_gistic","kirc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 72 ccrcc cases (Agilent microarray).",false,"kirc_tcga_mrna","kirc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"kirc_tcga_mrna_median_Zscores","kirc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 606 ccrcc cases (RNA Seq V2 RSEM).",false,"kirc_tcga_rna_seq_v2_mrna","kirc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"kirc_tcga_rna_seq_v2_mrna_median_Zscores","kirc_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"kirc_tcga_linear_CNA","kirc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 418 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"kirc_tcga_methylation_hm27","kirc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 480 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"kirc_tcga_methylation_hm450","kirc_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: KIRC/20160128/gdac.broadinstitute.org_KIRC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz.",true,"kirc_tcga_mutations","kirc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"kirc_tcga_pan_can_atlas_2018_gistic","kirc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"kirc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","kirc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"kirc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","kirc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"kirc_tcga_pan_can_atlas_2018_log2CNA","kirc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"kirc_tcga_pan_can_atlas_2018_mutations","kirc_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"kirc_tcga_pub_rppa","kirc_tcga_pub"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"kirc_tcga_pub_rppa_Zscores","kirc_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 436 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"kirc_tcga_pub_gistic","kirc_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17190 genes in 72 kirc cases (Agilent microarray).",false,"kirc_tcga_pub_mrna","kirc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"kirc_tcga_pub_mrna_median_Zscores","kirc_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 469 kirc cases (RNA Seq V2 RSEM).",false,"kirc_tcga_pub_rna_seq_v2_mrna","kirc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"kirc_tcga_pub_rna_seq_v2_mrna_median_Zscores","kirc_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number valuesdata_filename: data_linear_CNA.txt","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"kirc_tcga_pub_linear_CNA","kirc_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 219 cases. For genes with multiple methylation probes, the probe least correlated with expression.",false,"kirc_tcga_pub_methylation_hm27","kirc_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"kirc_tcga_pub_mutations","kirc_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","expression levels for microRNAs.",false,"kirc_tcga_pub_mirna","kirc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","microRNA expression Z-scores","microRNA expression Z-scores compared to all tumors.",false,"kirc_tcga_pub_mirna_median_Zscores","kirc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA/miRNA expression Z-scores (all genes)","mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",false,"kirc_tcga_pub_mrna_merged_median_Zscores","kirc_tcga_pub"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"kirp_tcga_rppa","kirp_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"kirp_tcga_rppa_Zscores","kirp_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 288 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"kirp_tcga_gistic","kirp_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 16 prcc cases (Agilent microarray).",false,"kirp_tcga_mrna","kirp_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"kirp_tcga_mrna_median_Zscores","kirp_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 323 prcc cases (RNA Seq V2 RSEM).",false,"kirp_tcga_rna_seq_v2_mrna","kirp_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"kirp_tcga_rna_seq_v2_mrna_median_Zscores","kirp_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"kirp_tcga_linear_CNA","kirp_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 21 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"kirp_tcga_methylation_hm27","kirp_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 321 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"kirp_tcga_methylation_hm450","kirp_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: KIRP/20160128/gdac.broadinstitute.org_KIRP.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz.",true,"kirp_tcga_mutations","kirp_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"kirp_tcga_pan_can_atlas_2018_gistic","kirp_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"kirp_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","kirp_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"kirp_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","kirp_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"kirp_tcga_pan_can_atlas_2018_log2CNA","kirp_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"kirp_tcga_pan_can_atlas_2018_mutations","kirp_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 191 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"laml_tcga_gistic","laml_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq RPKM)","Expression levels for 20443 genes in 179 aml cases (RNA Seq RPKM).",false,"laml_tcga_rna_seq_mrna","laml_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 173 aml cases (RNA Seq V2 RSEM).",false,"laml_tcga_rna_seq_v2_mrna","laml_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"laml_tcga_rna_seq_v2_mrna_median_Zscores","laml_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"laml_tcga_linear_CNA","laml_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 194 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"laml_tcga_methylation_hm27","laml_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 194 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"laml_tcga_methylation_hm450","laml_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: LAML/20160128/gdac.broadinstitute.org_LAML.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"laml_tcga_mutations","laml_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"laml_tcga_pan_can_atlas_2018_gistic","laml_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"laml_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","laml_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"laml_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","laml_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"laml_tcga_pan_can_atlas_2018_log2CNA","laml_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"laml_tcga_pan_can_atlas_2018_mutations","laml_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"laml_tcga_pub_gistic","laml_tcga_pub"
